2024-05-23 06:33:29 
2024-05-23 06:33:29 *******                      *******
2024-05-23 06:33:29 ******* перезапуск программы *******
2024-05-23 06:33:29 *******                      *******
2024-05-23 06:33:29 
2024-05-23 17:07:32 fun.move_friends_list_left
2024-05-23 17:07:35 fun.move_friends_list_left
2024-05-23 17:07:47 fun.move_friends_list_left
2024-05-23 17:07:59 fun.move_friends_list_left
2024-05-23 17:08:11 fun.move_friends_list_left
2024-05-23 17:08:23 fun.move_friends_list_left
2024-05-23 17:09:22 touring.pauk_yascher
2024-05-23 17:09:22 fun.push_close_all_
2024-05-23 17:09:22 touring.travel
2024-05-23 17:09:22 touring.traffic_on_the_map
2024-05-23 17:09:22 touring.to_map
2024-05-23 17:09:24 turgenev_st = None
2024-05-23 17:09:29 ev_map = 0
2024-05-23 17:09:29 pos_stan = Point(x=189, y=464), stan[1] = img/tonelli/k_Pushkin.png
2024-05-23 17:09:29 touring.poisk
2024-05-23 17:09:31 point_poisk = Point(x=189, y=464), confidence_poisk = 0.98
2024-05-23 17:09:31 fun.move_to_click
2024-05-23 17:09:33 touring.tunnel_events
2024-05-23 17:09:34 id_st = None
2024-05-23 17:09:34 info = Point(x=125, y=158)
2024-05-23 17:09:34 skip_battle = None
2024-05-23 17:09:34 id_st = None
2024-05-23 17:09:35 skip_battle = None
2024-05-23 17:09:35 id_st = None
2024-05-23 17:09:35 skip_battle = None
2024-05-23 17:09:35 id_st = None
2024-05-23 17:09:36 skip_battle = None
2024-05-23 17:09:36 id_st = None
2024-05-23 17:09:36 skip_battle = None
2024-05-23 17:09:36 id_st = None
2024-05-23 17:09:37 skip_battle = None
2024-05-23 17:09:37 id_st = None
2024-05-23 17:09:37 skip_battle = None
2024-05-23 17:09:37 id_st = None
2024-05-23 17:09:38 skip_battle = None
2024-05-23 17:09:38 id_st = None
2024-05-23 17:09:38 skip_battle = None
2024-05-23 17:09:38 id_st = None
2024-05-23 17:09:38 skip_battle = None
2024-05-23 17:09:38 id_st = None
2024-05-23 17:09:39 skip_battle = None
2024-05-23 17:09:39 id_st = None
2024-05-23 17:09:39 skip_battle = None
2024-05-23 17:09:39 id_st = None
2024-05-23 17:09:40 skip_battle = None
2024-05-23 17:09:40 id_st = None
2024-05-23 17:09:40 skip_battle = None
2024-05-23 17:09:40 id_st = None
2024-05-23 17:09:41 skip_battle = None
2024-05-23 17:09:41 id_st = None
2024-05-23 17:09:41 skip_battle = None
2024-05-23 17:09:41 id_st = None
2024-05-23 17:09:42 skip_battle = None
2024-05-23 17:09:42 id_st = None
2024-05-23 17:09:42 skip_battle = None
2024-05-23 17:09:42 id_st = None
2024-05-23 17:09:42 skip_battle = None
2024-05-23 17:09:43 id_st = None
2024-05-23 17:09:44 skip_battle = None
2024-05-23 17:09:44 id_st = None
2024-05-23 17:09:45 skip_battle = None
2024-05-23 17:09:45 id_st = None
2024-05-23 17:09:45 skip_battle = None
2024-05-23 17:09:45 id_st = None
2024-05-23 17:12:09 fun.get_areas_task_big
2024-05-23 17:12:09 fun.find_link_station_master
2024-05-23 17:12:10 fun.vizit_to_station_master
2024-05-23 17:12:10 fun.move_to_click
2024-05-23 17:12:15 fun.vizit_to_station_master
2024-05-23 17:12:16 fun.move_to_click
2024-05-23 17:12:20 station_master.enemy_battle
2024-05-23 17:12:20  поиск battle_end, skip_battle, dog
2024-05-23 17:12:23 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:12:25 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:12:28 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:12:30 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:12:33 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:12:36 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:12:38 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:12:41 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:12:43 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:12:46 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:12:48 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:12:51 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:12:53 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:12:56 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:12:58 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:00 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:03 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:05 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:08 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:10 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:13 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:15 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:18 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:20 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:23 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:24 dog = Point(x=80, y=618)
2024-05-23 17:13:24 нажал на собаку
2024-05-23 17:13:24 fun.move_to_click
2024-05-23 17:13:26 skip_battle = Point(x=432, y=115)
2024-05-23 17:13:26 fun.move_to_click
2024-05-23 17:13:30 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:31 нажать закрыть в конце боя
2024-05-23 17:13:31 fun.push_close_all_
2024-05-23 17:13:31 fun.close_popup_window
2024-05-23 17:13:31 fun.push_close
2024-05-23 17:13:31 fun.move_to_click
2024-05-23 17:13:35 skip_battle1_end_ver = None
2024-05-23 17:13:35 выход из 'enemy_battle
2024-05-23 17:13:35 fun.vizit_to_station_master
2024-05-23 17:13:35 fun.move_to_click
2024-05-23 17:13:39 fun.move_to_click
2024-05-23 17:13:43 station_master.enemy_battle
2024-05-23 17:13:43  поиск battle_end, skip_battle, dog
2024-05-23 17:13:45 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:48 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:50 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:53 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:55 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:13:58 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:00 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:02 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:05 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:07 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:10 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:12 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:15 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:17 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:20 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:22 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:25 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:27 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:30 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:32 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:34 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:37 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:39 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:42 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:44 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:45 dog = Point(x=80, y=618)
2024-05-23 17:14:45 нажал на собаку
2024-05-23 17:14:45 fun.move_to_click
2024-05-23 17:14:47 skip_battle = Point(x=432, y=115)
2024-05-23 17:14:47 fun.move_to_click
2024-05-23 17:14:51 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:14:51 нажать закрыть в конце боя
2024-05-23 17:14:51 fun.push_close_all_
2024-05-23 17:14:52 fun.close_popup_window
2024-05-23 17:14:52 fun.push_close
2024-05-23 17:14:52 fun.move_to_click
2024-05-23 17:14:55 skip_battle1_end_ver = None
2024-05-23 17:14:55 выход из 'enemy_battle
2024-05-23 17:14:55 fun.vizit_to_station_master
2024-05-23 17:14:56 fun.move_to_click
2024-05-23 17:15:00 fun.move_to_click
2024-05-23 17:15:04 station_master.enemy_battle
2024-05-23 17:15:04  поиск battle_end, skip_battle, dog
2024-05-23 17:15:06 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:09 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:11 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:13 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:16 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:18 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:21 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:23 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:26 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:28 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:31 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:33 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:36 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:39 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:41 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:44 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:47 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:49 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:52 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:54 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:57 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:15:59 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:02 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:04 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:05 dog = Point(x=80, y=619)
2024-05-23 17:16:05 нажал на собаку
2024-05-23 17:16:05 fun.move_to_click
2024-05-23 17:16:07 skip_battle = Point(x=432, y=115)
2024-05-23 17:16:07 fun.move_to_click
2024-05-23 17:16:11 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:11 нажать закрыть в конце боя
2024-05-23 17:16:11 fun.push_close_all_
2024-05-23 17:16:11 fun.close_popup_window
2024-05-23 17:16:12 fun.push_close
2024-05-23 17:16:12 fun.move_to_click
2024-05-23 17:16:15 skip_battle1_end_ver = None
2024-05-23 17:16:15 выход из 'enemy_battle
2024-05-23 17:16:15 fun.vizit_to_station_master
2024-05-23 17:16:15 fun.move_to_click
2024-05-23 17:16:20 fun.move_to_click
2024-05-23 17:16:24 station_master.enemy_battle
2024-05-23 17:16:24  поиск battle_end, skip_battle, dog
2024-05-23 17:16:26 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:28 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:31 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:33 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:36 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:38 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:41 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:43 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:46 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:48 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:50 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:53 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:57 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:16:59 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:01 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:04 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:06 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:09 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:11 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:14 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:16 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:19 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:21 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:24 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:25 dog = Point(x=80, y=619)
2024-05-23 17:17:25 нажал на собаку
2024-05-23 17:17:26 fun.move_to_click
2024-05-23 17:17:27 skip_battle = Point(x=432, y=115)
2024-05-23 17:17:27 fun.move_to_click
2024-05-23 17:17:32 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:32 нажать закрыть в конце боя
2024-05-23 17:17:32 fun.push_close_all_
2024-05-23 17:17:32 fun.close_popup_window
2024-05-23 17:17:33 fun.push_close
2024-05-23 17:17:33 fun.move_to_click
2024-05-23 17:17:36 skip_battle1_end_ver = None
2024-05-23 17:17:36 выход из 'enemy_battle
2024-05-23 17:17:36 fun.vizit_to_station_master
2024-05-23 17:17:36 fun.move_to_click
2024-05-23 17:17:41 fun.move_to_click
2024-05-23 17:17:45 station_master.enemy_battle
2024-05-23 17:17:45  поиск battle_end, skip_battle, dog
2024-05-23 17:17:47 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:49 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:52 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:54 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:57 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:17:59 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:03 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:05 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:08 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:10 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:13 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:15 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:18 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:20 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:23 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:25 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:27 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:30 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:32 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:36 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:38 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:41 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:43 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:46 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:46 dog = Point(x=80, y=618)
2024-05-23 17:18:46 нажал на собаку
2024-05-23 17:18:46 fun.move_to_click
2024-05-23 17:18:48 skip_battle = Point(x=432, y=115)
2024-05-23 17:18:48 fun.move_to_click
2024-05-23 17:18:52 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:18:53 нажать закрыть в конце боя
2024-05-23 17:18:53 fun.push_close_all_
2024-05-23 17:18:53 fun.close_popup_window
2024-05-23 17:18:53 fun.push_close
2024-05-23 17:18:54 fun.move_to_click
2024-05-23 17:18:57 skip_battle1_end_ver = None
2024-05-23 17:18:57 выход из 'enemy_battle
2024-05-23 17:18:57 fun.vizit_to_station_master
2024-05-23 17:18:57 fun.move_to_click
2024-05-23 17:19:01 fun.move_to_click
2024-05-23 17:19:05 station_master.enemy_battle
2024-05-23 17:19:05  поиск battle_end, skip_battle, dog
2024-05-23 17:19:08 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:10 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:12 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:15 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:17 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:20 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:22 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:25 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:27 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:30 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:32 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:35 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:38 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:41 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:43 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:46 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:48 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:51 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:53 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:55 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:19:58 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:20:00 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:20:03 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:20:05 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:20:06 dog = Point(x=80, y=619)
2024-05-23 17:20:06 нажал на собаку
2024-05-23 17:20:06 fun.move_to_click
2024-05-23 17:20:08 skip_battle = Point(x=432, y=115)
2024-05-23 17:20:08 fun.move_to_click
2024-05-23 17:20:12 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:20:12 нажать закрыть в конце боя
2024-05-23 17:20:12 fun.push_close_all_
2024-05-23 17:20:13 fun.close_popup_window
2024-05-23 17:20:13 fun.push_close
2024-05-23 17:20:13 fun.move_to_click
2024-05-23 17:20:16 skip_battle1_end_ver = None
2024-05-23 17:20:16 выход из 'enemy_battle
2024-05-23 17:20:16 fun.vizit_to_station_master
2024-05-23 17:20:17 fun.move_to_click
2024-05-23 17:20:29 fun.get_areas_task_big
2024-05-23 17:20:29 fun.find_link_station_master
2024-05-23 17:20:30 fun.vizit_to_station_master
2024-05-23 17:20:30 fun.move_to_click
2024-05-23 17:20:35 fun.vizit_to_station_master
2024-05-23 17:20:36 fun.move_to_click
2024-05-23 17:20:40 station_master.enemy_battle
2024-05-23 17:20:40  поиск battle_end, skip_battle, dog
2024-05-23 17:20:42 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:20:45 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:20:47 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:20:50 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:20:52 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:20:55 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:20:57 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:00 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:02 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:05 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:07 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:09 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:12 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:14 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:17 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:19 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:22 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:22 skip_battle = Point(x=432, y=115)
2024-05-23 17:21:22 fun.move_to_click
2024-05-23 17:21:26 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:27 нажать закрыть в конце боя
2024-05-23 17:21:27 fun.push_close_all_
2024-05-23 17:21:27 fun.close_popup_window
2024-05-23 17:21:27 fun.push_close
2024-05-23 17:21:28 fun.move_to_click
2024-05-23 17:21:31 skip_battle1_end_ver = None
2024-05-23 17:21:31 выход из 'enemy_battle
2024-05-23 17:21:31 fun.vizit_to_station_master
2024-05-23 17:21:31 fun.move_to_click
2024-05-23 17:21:35 fun.move_to_click
2024-05-23 17:21:39 station_master.enemy_battle
2024-05-23 17:21:39  поиск battle_end, skip_battle, dog
2024-05-23 17:21:42 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:44 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:47 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:49 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:51 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:54 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:56 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:21:59 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:22:01 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:22:04 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:22:06 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:22:09 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:22:11 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:22:13 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:22:16 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:22:18 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:22:21 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:22:21 skip_battle = Point(x=432, y=115)
2024-05-23 17:22:21 fun.move_to_click
2024-05-23 17:22:26 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:22:26 нажать закрыть в конце боя
2024-05-23 17:22:26 fun.push_close_all_
2024-05-23 17:22:26 fun.close_popup_window
2024-05-23 17:22:27 fun.push_close
2024-05-23 17:22:27 fun.move_to_click
2024-05-23 17:22:30 skip_battle1_end_ver = None
